BCODE,BNAME,DCODE,District_Name,Region,County_ID,County_Name,Public/nonpublic,g7_totl,g8_totl,g9_totl,g10_totl,g11_totl,g12_totl,tot_all
00198,Baraga Area High School,07020,Baraga Area Schools,1.00,07,Baraga,Public,35.00,46.00,48.00,38.00,51.00,47.00,265.00
00497,Calumet High School,31030,Public Schools of Calumet,1.00,31,Houghton,Public,0.00,0.00,110.00,93.00,131.00,96.00,430.00
00652,Chassell K-12 School,31050,Chassell Township School District,1.00,31,Houghton,Public,15.00,23.00,18.00,28.00,21.00,25.00,130.00
00927,Dollar Bay High School,31100,Dollar Bay-Tamarack City Area Schools,1.00,31,Houghton,Public,18.00,21.00,22.00,29.00,27.00,19.00,136.00
01175,Ewen-Trout Creek Consolidated School,66045,Ewen-Trout Creek Consolidated School District,1.00,66,Ontonagon,Public,30.00,27.00,24.00,19.00,23.00,31.00,154.00
01555,Hancock Central High School,31010,Hancock Public Schools,1.00,31,Houghton,Public,0.00,0.00,55.00,62.00,61.00,71.00,249.00
01766,Houghton Central High School,31110,Houghton-Portage Township Schools,1.00,31,Houghton,Public,0.00,0.00,92.00,104.00,112.00,109.00,417.00
01893,Jeffers High School,31020,Adams Township School District,1.00,31,Houghton,Public,34.00,28.00,49.00,32.00,32.00,41.00,216.00
02083,Lake Linden-Hubbell High School,31130,Lake Linden-Hubbell School District,1.00,31,Houghton,Public,37.00,48.00,34.00,46.00,43.00,37.00,245.00
03334,SACRED HEART SCHOOL,26040,,1.00,07,Baraga,nonpublic,7.00,0.00,0.00,0.00,0.00,0.00,7.00
03822,Copper Country Learning Center,31000,Copper Country ISD,1.00,31,Houghton,Public,3.00,6.00,12.00,3.00,6.00,7.00,37.00
04149,L'Anse High School,07040,L'Anse Area Schools,1.00,07,Baraga,Public,0.00,0.00,69.00,72.00,69.00,65.00,275.00
04357,Washington Middle School,31030,Public Schools of Calumet,1.00,31,Houghton,Public,126.00,99.00,0.00,0.00,0.00,0.00,225.00
06170,Ontonagon Area Jr/Sr High School,66050,Ontonagon Area Schools,1.00,66,Ontonagon,Public,46.00,48.00,46.00,37.00,52.00,41.00,270.00
06401,E.B. Holman Elementary School,31140,Stanton Township Public Schools,1.00,31,Houghton,Public,12.00,12.00,0.00,0.00,0.00,0.00,24.00
08558,Houghton Middle School,31110,Houghton-Portage Township Schools,1.00,31,Houghton,Public,90.00,100.00,0.00,0.00,0.00,0.00,190.00
08744,Hancock Middle School,31010,Hancock Public Schools,1.00,31,Houghton,Public,65.00,60.00,0.00,0.00,0.00,0.00,125.00
08841,L'Anse Middle School,07040,L'Anse Area Schools,1.00,07,Baraga,Public,64.00,57.00,0.00,0.00,0.00,0.00,121.00
08902,Gogebic-Ontonagon ISD Special Education,27000,Gogebic-Ontonagon ISD,1.00,66,Ontonagon,Public,1.00,0.00,0.00,0.00,0.00,0.00,1.00
09566,CHS-Horizons School,31030,Public Schools of Calumet,1.00,31,Houghton,Public,0.00,0.00,2.00,10.00,12.00,20.00,44.00
00003,A.D. Johnston Jr/Sr High School,27010,Bessemer Area School District,2.00,27,Gogebic,Public,6.00,9.00,44.00,53.00,41.00,35.00,188.00
00527,Carney-Nadeau School,55010,,2.00,55,Menominee,Public,28.00,16.00,15.00,20.00,14.00,23.00,116.00
01762,CONCORDIA LUTHERAN SOUTH,82140,,2.00,22,Dickinson,nonpublic,4.00,5.00,0.00,0.00,0.00,0.00,9.00
01770,FELLOWSHIP BAPTIST ACADEMY,59020,,2.00,22,Dickinson,nonpublic,7.00,9.00,3.00,5.00,8.00,13.00,45.00
01852,West Iron County High School,36025,West Iron County Public Schools,2.00,36,Iron,Public,0.00,0.00,81.00,66.00,78.00,83.00,308.00
01978,Central Middle School,22010,Iron Mountain Public Schools,2.00,22,Dickinson,Public,79.00,104.00,0.00,0.00,0.00,0.00,183.00
02039,Kingsford High School,22030,Breitung Township Schools,2.00,22,Dickinson,Public,0.00,0.00,147.00,170.00,176.00,182.00,675.00
02040,Kingsford Middle School,22030,Breitung Township Schools,2.00,22,Dickinson,Public,111.00,147.00,0.00,0.00,0.00,0.00,258.00
02282,Luther L. Wright High School,27020,Ironwood Area Schools,2.00,27,Gogebic,Public,67.00,86.00,68.00,68.00,96.00,96.00,481.00
02514,Menominee Jr High School,55100,Menominee Area Public Schools,2.00,55,Menominee,Public,129.00,132.00,0.00,0.00,0.00,0.00,261.00
02784,Norway High School,22025,Norway-Vulcan Area Schools,2.00,22,Dickinson,Public,0.00,0.00,63.00,87.00,61.00,71.00,282.00
03114,North Central Area Junior/Senior High School,55115,North Central Area Schools,2.00,55,Menominee,Public,35.00,27.00,38.00,35.00,38.00,35.00,208.00
03441,Iron Mountain High School,22010,Iron Mountain Public Schools,2.00,22,Dickinson,Public,0.00,0.00,113.00,111.00,94.00,106.00,424.00
04065,Stephenson High School,55120,Stephenson Area Public Schools,2.00,55,Menominee,Public,0.00,0.00,58.00,61.00,54.00,52.00,225.00
04329,Wakefield-Marenisco School,27070,Wakefield-Marenisco School District,2.00,27,Gogebic,Public,20.00,24.00,15.00,21.00,14.00,21.00,115.00
04360,Washington School,27010,Bessemer Area School District,2.00,27,Gogebic,Public,53.00,0.00,0.00,0.00,0.00,0.00,53.00
04397,Watersmeet Township School,27080,Watersmeet Township School District,2.00,27,Gogebic,Public,17.00,13.00,20.00,13.00,18.00,23.00,104.00
04636,AGAPE CHRISTIAN ACADEMY,82160,,2.00,55,Menominee,nonpublic,16.00,8.00,9.00,8.00,12.00,10.00,63.00
05490,West Iron County Middle School,36025,West Iron County Public Schools,2.00,36,Iron,Public,85.00,69.00,0.00,0.00,0.00,0.00,154.00
05695,Menominee High School,55100,Menominee Area Public Schools,2.00,55,Menominee,Public,0.00,0.00,141.00,159.00,134.00,139.00,573.00
06194,North Dickinson School,22045,North Dickinson County Schools,2.00,22,Dickinson,Public,30.00,21.00,27.00,44.00,37.00,33.00,192.00
08221,Nah Tah Wahsh Public School Academy,55901,Nah Tah Wahsh Public School Academy,2.00,55,Menominee,Public,7.00,12.00,17.00,6.00,10.00,7.00,59.00
08831,IM-K Community Education,22010,Iron Mountain Public Schools,2.00,22,Dickinson,Public,0.00,0.00,1.00,9.00,21.00,66.00,97.00
08877,Dickinson-Iron Special Education,22000,Dickinson-Iron ISD,2.00,22,Dickinson,Public,3.00,5.00,8.00,4.00,4.00,5.00,29.00
08944,Menominee ISD Special Education,55000,Menominee ISD,2.00,55,Menominee,Public,1.00,2.00,0.00,0.00,1.00,0.00,4.00
09008,Gogebic Co. Community Education,27020,Ironwood Area Schools,2.00,27,Gogebic,Public,0.00,0.00,18.00,19.00,10.00,6.00,53.00
09599,Phoenix Alternative High School,55115,North Central Area Schools,2.00,55,Menominee,Public,0.00,0.00,11.00,1.00,2.00,54.00,68.00
09667,Vulcan Middle School,22025,Norway-Vulcan Area Schools,2.00,22,Dickinson,Public,57.00,60.00,0.00,0.00,0.00,0.00,117.00
09819,Stephenson Middle School,55120,Stephenson Area Public Schools,2.00,55,Menominee,Public,52.00,65.00,0.00,0.00,0.00,0.00,117.00
09851,The Better Alternative,55120,Stephenson Area Public Schools,2.00,55,Menominee,Public,0.00,0.00,1.00,4.00,3.00,5.00,13.00
00204,Bark River-Harris Jr/Sr High School,21090,Bark River-Harris School District,3.00,21,Delta,Public,54.00,52.00,56.00,40.00,44.00,48.00,294.00
00481,C.L. Phelps School,52180,Ishpeming Public School District,3.00,52,Marquette,Public,89.00,58.00,0.00,0.00,0.00,0.00,147.00
00559,CATHOLIC CENTRAL HIGH SCHOOL,41010,,3.00,52,Marquette,nonpublic,0.00,0.00,175.00,217.00,196.00,187.00,775.00
00621,Negaunee Middle School,52090,Negaunee Public Schools,3.00,52,Marquette,Public,117.00,100.00,0.00,0.00,0.00,0.00,217.00
01155,Escanaba Area Public High School,21010,Escanaba Area Public Schools,3.00,21,Delta,Public,0.00,0.00,217.00,231.00,245.00,235.00,928.00
01156,Escanaba Middle School,21010,Escanaba Area Public Schools,3.00,21,Delta,Public,190.00,182.00,0.00,0.00,0.00,0.00,372.00
01407,Gladstone Area Middle School,21025,Gladstone Area Schools,3.00,21,Delta,Public,122.00,96.00,0.00,0.00,0.00,0.00,218.00
01410,Gladstone Area High School,21025,Gladstone Area Schools,3.00,21,Delta,Public,0.00,0.00,166.00,118.00,125.00,130.00,539.00
01527,Gwinn High School,52040,Gwinn Area Community Schools,3.00,52,Marquette,Public,0.00,0.00,107.00,114.00,111.00,95.00,427.00
01744,HOLY TRINITY SCHOOL,41145,,3.00,21,Delta,nonpublic,15.00,13.00,0.00,0.00,0.00,0.00,28.00
01858,Ishpeming High School,52180,Ishpeming Public School District,3.00,52,Marquette,Public,0.00,0.00,73.00,58.00,69.00,61.00,261.00
01928,Munising High and Middle School,02070,Munising Public Schools,3.00,02,Alger,Public,61.00,47.00,48.00,53.00,65.00,75.00,349.00
02128,LANSING CHRISTIAN SCHOOL,33070,,3.00,21,Delta,nonpublic,44.00,41.00,46.00,53.00,47.00,63.00,294.00
02389,Marquette Senior High School,52170,Marquette Area Public Schools,3.00,52,Marquette,Public,0.00,0.00,259.00,277.00,251.00,280.00,"1,067.00"
02666,Negaunee High School,52090,Negaunee Public Schools,3.00,52,Marquette,Public,0.00,0.00,115.00,118.00,126.00,109.00,468.00
03151,Tri-Township School,21060,Rapid River Public Schools,3.00,21,Delta,Public,31.00,36.00,35.00,29.00,31.00,33.00,195.00
03182,Republic-Michigamme School,52110,Republic-Michigamme Schools,3.00,52,Marquette,Public,8.00,1.00,9.00,14.00,17.00,10.00,59.00
03243,Mid Peninsula School,21135,Mid Peninsula School District,3.00,21,Delta,Public,22.00,25.00,19.00,20.00,16.00,19.00,121.00
03876,OAK HOLLOW CHRISTIAN SCHOOL,63230,,3.00,52,Marquette,nonpublic,1.00,0.00,0.00,0.00,0.00,0.00,1.00
03937,ST MICHAEL LUTHERAN SCHOOL,79110,,3.00,52,Marquette,nonpublic,11.00,14.00,0.00,0.00,0.00,0.00,25.00
04431,Wells Township School,52160,Wells Township School District,3.00,52,Marquette,Public,1.00,2.00,0.00,0.00,0.00,0.00,3.00
04860,Superior Central School,02080,Superior Central Schools,3.00,02,Alger,Public,35.00,34.00,22.00,38.00,40.00,28.00,197.00
04999,Burt Township School,02020,Burt Township School District,3.00,02,Alger,Public,4.00,8.00,5.00,8.00,9.00,7.00,41.00
05145,Gwinn Middle School,52040,Gwinn Area Community Schools,3.00,52,Marquette,Public,105.00,117.00,0.00,0.00,0.00,0.00,222.00
05362,Powell Twp. Elementary School,52100,Powell Township Schools,3.00,52,Marquette,Public,4.00,2.00,0.00,0.00,0.00,0.00,6.00
